"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","359","test_add_new_product","tests.api","Fri Apr 24 22:02:20 UTC 2026","passed","Fri Apr 24 22:02:20 UTC 2026","","test_add_new_product","",""
"","84","test_search_product_parametrization[Laptop-laptops]","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_search_products","",""
"","323","test_update_product","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:22 UTC 2026","","test_update_product","",""
"","84","test_get_current_user_details","tests.api","Fri Apr 24 22:02:20 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_get_user_info","",""
"","82","test_search_product_parametrization[Mascara-beauty]","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_search_products","",""
"","87","test_get_all_products","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_products","",""
"","84","test_search_product_parametrization[iPhone-mobile-accessories]","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_search_products","",""
"","84","test_delete_product","tests.api","Fri Apr 24 22:02:20 UTC 2026","passed","Fri Apr 24 22:02:20 UTC 2026","","test_delete_product","",""
"Тест на вход с неверным паролем (Negative scenario)","365","test_login_invalid_password","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_negative_login","",""
"","83","test_get_single_product","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_single_product","",""
"","149","test_login_success","tests.api","Fri Apr 24 22:02:20 UTC 2026","passed","Fri Apr 24 22:02:20 UTC 2026","","test_auth","",""
"","124","test_login_invalid_password","tests.api","Fri Apr 24 22:02:20 UTC 2026","passed","Fri Apr 24 22:02:20 UTC 2026","","test_auth","",""
"","81","test_search_product","tests.api","Fri Apr 24 22:02:21 UTC 2026","passed","Fri Apr 24 22:02:21 UTC 2026","","test_search_product_negative","",""
